DOI;Title;Abstract;Exclusion_Criteria;Tema a tratar;Categorización;Falsos positivos;ojo con este;Categories;AbstractORArticle;Categories_RQ1;Categories_RQ2;Categories_RQ3;Categories_RQ4
10.1016/j.bspc.2024.106288;Analyzing lower body movements using machine learning to classify autistic children;Autism spectrum disorder is a neurological disorder that affects children at an early age and its symptoms appear in varying degrees. Early detection of ASD and follow-up of treatment by specialists help improve autistic people's lives and reduce the symptoms they suffer from. In the past few years, a group of studies conducted gait analysis to diagnose children with autism, and although the results of these studies showed weak motor skills of Autism Spectrum Disorder children (ASD) compared to their peers of Typically Developing children (TD), there are some challenges facing researchers in this field. The first is the ability to create A safe, effective, friendly environment that reduces tension in ASD children and helps classify children into ASD/TD effectively. And the second is the ability to create an automated ASD diagnosis system. In this work, a system based on machine learning and augmented reality technology has been proposed to create an effective and friendly interactive environment that helps diagnose ASD and classify children to ASD / TD. The movement of the lower limbs of 15 ASD children and 15 TD children are tracked via a marker-less technique through a Kinect v2 sensor when playing a specific game based on kicking the ball task, that is using augmented reality technology. Then the kinematics features are extracted through Linear Discriminant Analysis technology. To determine these features' ability in the classification process, three machine learning algorithms are used, namely Support Vector Machine, Linear Discriminant Analysis, and Decision Tree. The results showed that the obtained kinematics features can classify children into ASD/TD, where the Support Vector Machine classifier obtained a high accuracy of 96.7% with sensitivity equal to 93.3% and specificity equal to 100%. In addition, the Linear Discriminant Analysis classifier obtained less accuracy of 93.3% with sensitivity equal to 93.3% and specificity equal to 93.3% compared with the Support Vector Machine classifier. Where the Decision Tree classifier obtained the lowest accuracy of 80.0% with sensitivity equal to 73.3% and specificity equal to 86.7% compared with the Support Vector Machine and Linear Discriminant Analysis classifiers. In addition to that, when using Linear Discriminant Analysis to reduce dimensions and extract features, the accuracy, sensitivity, and specificity of the Support Vector Machine classifier were increased and achieved by 100%. Based on these results, it has been proven that the proposed method is effective in classifying children to ASD/TD. © 2024 Elsevier Ltd;;Trata de detectar el TEA precozmente mediante AR y con aprendizaje automático;AR, GAME, TEA, IA;;ojo con este;AR,motion capture;0;AR;;;motion capture
10.1007/s10639-023-12319-x;Communicative competence in students with ASD: Interaction and immersion in a Gamified Augmented Environment;Active methodologies such as gamification, combined with emerging technologies like augmented reality, are enhancing learning environments that facilitate the development of essential competencies. Particularly, students with Autism Spectrum Disorder (ASD) require reinforcement of their Communicative Competence (CC) to activate their abilities to communicate effectively in different contexts, and interventions supported by this type of methodology and resources can contribute to this goal. The aim of this study is to analyse the contribution of an Augmented Gamified Environment to the development of CC in a sample of 54 subjects diagnosed in public Special Education centres. Correlational methodology is adopted with an exploratory and analytical approach. Individualized intervention sought to relate students' level of interaction and immersion in the environment's narrative to the increase in their CC. Their degree of autonomy when interacting with the tablet and immersion in the game was measured using observation-based instruments with categories that allowed for subsequent statistical analysis. Additionally, the influence of gender, age, severity of ASD, comorbidities, and type of language on the level of competence achieved was contrasted. The results show that engagement in mission execution favoured their CC. It was observed that the higher the immersion in the challenges, the higher the CC of the students. Specifically, older students with less severe ASD, functional oral language, and no comorbidity exhibited higher levels of CC. In conclusion, intervention for optimal results must be tailored to individual characteristics, present engaging narratives, and integrate playful activities that require communicative strategies. © The Author(s) 2023.;;Trata de analizar la contribución de un Entorno Gamificado Aumentado (AGE) al desarrollo de la Competencias Comunicativas en una muestra de 54 sujetos diagnosticados;GAME, TEA;AR;;AR;0;AR;;;
10.1007/s10803-023-05975-y;Time-Based and Event-Based Prospective Memory in Adults with Autism Spectrum Disorder: A Virtual Week Investigation;Purpose: Autism spectrum disorder (ASD) is a complex developmental condition including persistent challenges with social communication, restricted interests, and repetitive behavior. Though prospective memory failures are commonly observed in ASD population it has been less studied among adults with ASD. Prospective memory (PM) refers to the execution of delayed intentions. There are contradictory findings of regular and irregular prospective memory task among autistic adults. The present study is an attempt to investigate prospective memory performance among adults with autism spectrum disorder using the Virtual Week board game. Method: Virtual Week (Rendell & Craik, 2000) (3-day Version) is a computerized board game in which participants after rolling a die move token clockwise around the board. Each round of the board represents one virtual “day.” Adults between 16 and 25 years of age who were diagnosed with ASD (N = 23) were compared with non-ASD (N = 26) adults. Results: Analyses of variance were used to analyze the data. Results revealed that autistic adults as compared to normal adults showed poorer performance on time-based task than on event-based task. A significant difference was evident between regular and irregular prospective memory tasks across both tasks among autistic adults. Results also revealed that ASD difficulties are associated with the prospective component of the irregular task. Conclusions: Prospective memory failures are widely observed in ASD group, and have important implications for functional independence. The findings of this study provide insight into prospective memory challenges that adults with autism spectrum disorder face in a daily basis. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.;;Trata de investigar el rendimiento de la memoria prospectiva entre adultos con TEA utilizando el juego de mesa Virtual Week;TEA;;;AR;0;AR;;;
10.1063/5.0205764;Integrating of Augmented Reality and Sensor Technologies For Autism Spectrum Disorder Therapies;Among various technological advances today, one of them is IoT (Internet of Things) which has been widely used in everyday life. IoT can make everything around us connected to the internet. At the same time, Augmented Reality is a technology that can combine three-dimensional virtual objects into the environment or the real world so that these objects appear more authentic. The two technologies can be integrated, which will then be applied in the game for autistic child therapy. The IoT-based technology used in this study is RFID (Radio Frequency Identification). Utilizing the RFID card, which will later be modified into a picture card in the game for autistic child therapy, is expected to help autistic children train their sensory and motor skills and interact with the characters in the game's three-dimensional form. Based on the results of the overall percentage of the learnability questionnaire, it can be concluded that 87.5% of respondents strongly agree, the results of the percentage of the overall efficiency questionnaire can be concluded that 84.67% of respondents strongly agree, then on the results of the percentage of the questionnaire memorability overall, it can be concluded that 82.22% of respondents strongly agree and the results of the percentage of satisfaction questionnaires as a whole, it can be concluded that 88.89% of respondents strongly agree. © 2024 American Institute of Physics Inc.. All rights reserved.;;Trata de entrenar habilidades sensoriales y motoras de niños autistas, permitiéndoles interactuar con personajes de un juego lot combinado con AR;AR, GAME, TEA;;;AR;0;AR;;;
10.1109/SeGAH61285.2024.10639571;Immersive Virtual Reality Serious Game for Facial Expression Training;Individuals with Autism Spectrum Disorder (ASD) frequently encounter difficulties in recognizing and expressing emotions, significantly affecting their ability to engage in social interactions. This study introduces a novel serious game designed to enhance facial emotion recognition and expression skills among individuals with ASD. Utilizing Virtual Reality (VR) technology, the game provides an immersive and interactive environment where participants diagnosed with ASD can safely practice and refine their emotion recognition and expression abilities. Three mini-games comprising identification, manipulation and production of facial expressions were created and incorporated as tasks in our larger immersive serious game TravelTrain. Preliminary evaluation through a pilot test has demonstrated the game's potential, with participants showing positive responses towards its usability and acceptance. These encouraging outcomes suggest that it has the potential to serve as a valuable tool in assisting individuals with ASD to improve their emotional competencies and, consequently, their social interaction skills. © 2024 IEEE.;;Trata de mejorar las habilidades de reconocimiento y expresión de emociones faciales en personas con TEA;VR, GAME, TEA;;;AR,VR;0;VR,AR;;;
10.1109/TLT.2024.3451462;HSVRS: A Virtual Reality System of the Hide-and-Seek Game to Enhance Gaze Fixation Ability for Autistic Children;Numerous children diagnosed with autism spectrum disorder (ASD) exhibit abnormal eye gaze pattern in communication and social interaction. In this study, we aim to investigate the effectiveness of the hide-and-seek virtual reality system (HSVRS) in improving gaze fixation abilities in children with ASD. Our hypothesis is that engaging in a hide-and-seek game within a virtual environment, particularly with a customized avatar resembling a familiar figure, would significantly enhance gaze fixation skills compared to traditional interventions without supplementary virtual reality (VR) intervention. In total, 36 children with ASD were involved in this pilot study in three groups: the avatar customized group, the avatar uncustomized group, and the control group. The control group only received human intervention, while the avatar group received additional VR-assisted interventions. The effect of HSVRS was measured by a six-point Likert subjective questionnaire and demonstrated significant improvements in gaze fixation abilities in the VR-assisted intervention groups compared to the control group (P = 0.006, 0.001). Moreover, the avatar customized group, which interacted with a familiar-looking avatar, obtained noticeable increments in gaze fixation metrics (P = 0.036, 0.005, 0.001). Experimental results show the effectiveness of utilizing VR technology to complement regular interventions in terms of improving gaze fixation abilities for young children with ASD. © 2008-2011 IEEE.;;"Trata de mejorar las capacidades de fijación de la mirada en niños con TEA con un juego virtual ""el escondite""";VR, GAME, TEA;;;AR,eye tracking,VR;0;VR,AR;;;eye tracking
10.1007/978-3-031-62849-8_27;A Social Communication Support Application for Autistic Children Using Computer Vision and Large Language Models;A novel, affordable and accessible software solution that utilizes computer vision tools and Large Language Models (LLMs) to provide communication support to high functioning autistic children during online meetings with the aim of improving their social communication skills is presented. The system displays the remote attendee’s facial expressions as distinct emoticons to facilitate the child’s understanding of non-verbal social cues and suggests appropriate responses on demand based on the conversational context and the detected expressions. A gamification option for practicing facial expression recognition in an engaging manner is also offered. The application serves as a support platform as well as a teaching tool which autistic children can utilize to connect with friends and caregivers to improve their social communication skills. It is being developed in consultation with therapists who work with autistic children to ensure that its design is compatible with the unique needs of the end users. The system is more cost-effective and sensory friendly as compared to similar robotic and virtual reality-based solutions and has the added advantage that the child converses with a real human being instead of a robot or a virtual agent, thus, increasing the likelihood that the social skills learned would be effectively transferred to co-located face-to-face conversations. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.;;Trata de mejorar sus habilidades de comunicación social mediante el uso de visión artificial y Modelos de Lenguaje Extensos (LLMs);TEA;VR, GAME;;AR,VR;0;VR,AR;;;
10.1049/PBHE057E;Medical imaging informatics: Machine learning, deep learning and big data analytics;Medical imaging informatics play an important role in the effectiveness of present-day healthcare systems. Advancement of artificial intelligence, big data analytics, and internet of things technologies contribute greatly to various healthcare applications. Artificial intelligence techniques are contributing to improvements with traditionally human-based systems and ensuring that the accuracy of prediction and diagnosis is being continually enhanced. The development of reliable and accurate healthcare models is becoming ever more possible with the help of machine learning and deep learning technologies. Artificial intelligence has the power to solve many complex problems in medical imaging and is a technology that will help to design the future of many healthcare systems. This edited book highlights and addresses various issues in medical imaging and provides viable solutions utilising artificial intelligence and big data tools. This book discusses techniques, algorithms, and tools which help build and develop research practices, platforms, and applications in medical image informatics. Medical image enhancement, big data analytics and artificial intelligence models are discussed with relation to applications in the detection of cancer, autism, allergies and diabetes. The design and development of internet of medical things and virtual reality tools for mental health disorders are also explored. This book is suitable reading for researchers and scientists, in both academia and industry, working in computer science and engineering, machine learning, image processing, and healthcare technologies. Those in aligned professions, such as healthcare practitioners, administrators, designers and developers may also find the subject matter of interest. © The Institution of Engineering and Technology 2024. All rights reserved.;;Trata de analizar técnicas, algoritmos y herramientas que ayudan a construir y desarrollar prácticas de investigación, plataformas y aplicaciones en la informática de imágenes médicas;IA;VR, TEA;;AR,VR;0;VR,AR;;;
10.1109/ICRoM64545.2024.10903545;Virtual Reality Music-Based Game as a Co-Tool to Diagnose Autism in Young Children;Autism Spectrum Disorder (ASD) is a neurodevelopmental condition that impacts various aspects of life, including motor skills, social interactions, and communication, with symptoms that differ widely among individuals. Early diagnosis is critical, especially in young children, as timely intervention can significantly improve outcomes. This paper presents a novel approach utilizing a music-based virtual reality (VR) game to assist therapists in differentiating children with ASD from their typically developing (TD) peers. A classification model was trained using data collected from 21 TD children and 9 children with ASD, focusing on their actions and movements within the game. The model achieved an accuracy of 93% and a sensitivity of 85%, showcasing the potential of VR games in advancing ASD/TD classification and autism screening. © 2024 IEEE.;;Trata de un juego de realidad virtual (RV) basado en la música para ayudar a los terapeutas a diferenciar a los niños con TEA de sus pares con desarrollo típico (DT);VR, GAME, TEA;;;AR,motion capture,VR;0;VR,AR;;;motion capture
10.20372/dcidj.507;Fostering Social Communication for Children with Autism through Augmented Reality Toys;"Purpose: The fifth edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-5) classified autism spectrum disorder (ASD) as a neurodevelopmental disorder characterised by difficulties with socialisation and communication, and with restricted interests and repetitive behaviour. The wide range of symptom types and severity of the disorder in children with ASD can range from the need for support to the need for substantial support, and sometimes even very substantial support. This paper examines an augmented reality toy application, AR Toys, which supports social communication of children with ASD, and reports on how the application was used in school classrooms. Method: AR Toys was evaluated by seven children in an Autism Centre in Melaka, Malaysia. The analysis focused entirely on observation of the interactions between children and teachers at the school. Results: It was found that AR Toys were able to: (1) motivate children with ASD on adaptive language; (2) model expressive language to identify a child’s emotion; and (3) promote pretend play on learning emotion in classroom activities. This gives children with ASD more opportunities to communicate among peers and interact with teachers at school. Conclusion: Human Computer Interaction (HCI) research using AR technologies shows positive feedback in supporting children with ASD in recognising emotions that facilitate their social communication development, leading to better understanding, communication and engagement between teachers and children. © 2023, Vrije University. All rights reserved.";;Trata de examinar una aplicación de juguetes en realidad aumentada, AR Toys, que apoya la comunicación social de niños con TEA;AR, TEA,GAME;;;AR,classroom,VR;0;VR,AR;classroom;;
10.3390/computers12030055;Design and Prototype Development of Augmented Reality in Reading Learning for Autism;(1) Background: Augmented reality is no less popular than virtual reality. This technology has begun to be used in education fields, one of which is special education. Merging the real and virtual worlds is the advantage of augmented reality. However, it needs special attention in making software for children with special needs, such as children with autism. This paper presents an application prototype by paying attention to the characteristics of autistic individuals according to the Autism Guide, that has existed in previous studies. (2) Method: The method used in the development of this prototype is the Linear Sequential Model. Application development is made using Unity3D, Vuforia, and Adobe Illustrator by considering accessibility and other conveniences for developers. (3) Results: The prototype was developed with reference to the Autism Guide, then validated by media experts and autistic experts with the results of the assessment obtaining a score of 87.3/100 which is in the “Very Good” category and is suitable for use. (4) Conclusions: The development of a prototype that refers to the characteristics of children with autism needs to be considered so that what will be conveyed can be easily accepted. © 2023 by the authors.;;Trata de desarrollar prototipos mediante AR que hagan referencia a las características específicas de los niños con autismo para que el contenido que se desea transmitir sea aceptado;AR, TEA;;;AR,VR;0;VR,AR;;;
10.1109/CoG57401.2023.10333176;Differences in visual-proprioceptive accuracy and visuomotor performance in immersive virtual reality and the physical world: a pilot study;Autistic individuals commonly experience visuomotor integration (VMI) difficulties that impact upper extremity movements such as goal-directed throwing, which commonly exists in everyday activities and movement-based games. Autistic individuals often show superior ability towards visual details and inefficient global visual information processing, leading to incongruent VMI. Virtual reality (VR) provides adequate and accurate eye and hand movement data and allows readily individualized design, making it a good option for VMI assessment and potential game-based VMI intervention for autistic individuals. We conducted a pilot study with eight non-autistic young adults comparing visual-proprioceptive accuracy and VMI in VR and in an equivalent physical environment (PE) using a spatial estimation task and a goal-directed throwing task. We observed reduced visual and visual-proprioceptive accuracy in VR compared to PE. Success rates of throwing were lower in VR, with more gaze scanning of the environment and shorter fixation duration on task-relevant objects. Participants spent a longer time preparing for movement execution and had higher hand velocity at release in VR. Subsequent research will compare visual-proprioceptive accuracy and VMI between VR and PE in autistic individuals and explore their relationship with autistic traits. © 2023 IEEE.;;Trata de observar la VMI en RV y en un entorno físico equivalente (PE) de personas autistas;VR, GAME, TEA;;;AR,motion capture,eye tracking,VR;0;VR,AR;;;eye tracking,motion capture
